0,Algorithm,Accuracy,F1-Score,F2-Score,Recall,Precision,Informedness,RMSE,removed_item
33,ExtraTreesClassifier,0.92,0.912,0.915,0.918,0.907,0.897,0.299,"['r_speed', 'd_pace_std']"
34,ExtraTreesClassifier,0.917,0.91,0.913,0.915,0.906,0.892,0.326,"['r_speed', 'd_pace_mean']"
35,ExtraTreesClassifier,0.92,0.917,0.92,0.922,0.913,0.901,0.294,"['r_speed', 'd_time_var']"
36,ExtraTreesClassifier,0.916,0.907,0.913,0.917,0.899,0.895,0.321,"['r_speed', 'd_time_std']"
37,ExtraTreesClassifier,0.92,0.915,0.92,0.923,0.909,0.902,0.294,"['r_speed', 'd_time_sum']"
38,ExtraTreesClassifier,0.916,0.911,0.915,0.917,0.905,0.895,0.314,"['r_speed', 'd_distance_var']"
39,ExtraTreesClassifier,0.922,0.916,0.919,0.922,0.91,0.901,0.307,"['r_speed', 'd_distance_std']"
40,ExtraTreesClassifier,0.924,0.918,0.921,0.923,0.914,0.902,0.293,"['r_speed', 'd_distance_sum']"
41,ExtraTreesClassifier,0.918,0.911,0.915,0.918,0.906,0.896,0.324,"['r_speed', 'p_has_objective']"
42,ExtraTreesClassifier,0.931,0.924,0.926,0.928,0.92,0.91,0.275,"['r_speed', 'calories']"
43,ExtraTreesClassifier,0.926,0.918,0.922,0.925,0.912,0.905,0.296,"['r_speed', 'bmi']"
44,ExtraTreesClassifier,0.927,0.922,0.926,0.929,0.916,0.91,0.283,"['r_speed', 'gender']"
45,ExtraTreesClassifier,0.914,0.907,0.912,0.915,0.901,0.892,0.324,"['r_speed', 'weight']"
46,ExtraTreesClassifier,0.917,0.913,0.916,0.918,0.908,0.896,0.309,"['r_speed', 'height']"
47,ExtraTreesClassifier,0.908,0.902,0.906,0.909,0.896,0.884,0.343,"['r_speed', 'age']"
48,ExtraTreesClassifier,0.927,0.92,0.926,0.929,0.913,0.91,0.299,"['r_speed', 'weight_situation']"
49,ExtraTreesClassifier,0.924,0.916,0.921,0.924,0.909,0.904,0.293,"['r_speed', 'p_welldone']"
50,ExtraTreesClassifier,0.928,0.923,0.928,0.932,0.915,0.913,0.29,"['r_speed', 'o_time']"
51,ExtraTreesClassifier,0.912,0.902,0.907,0.91,0.896,0.886,0.328,"['r_speed', 'o_pace']"
52,ExtraTreesClassifier,0.917,0.908,0.911,0.913,0.904,0.891,0.316,"['r_speed', 'r_pace']"
53,ExtraTreesClassifier,0.908,0.9,0.906,0.91,0.892,0.886,0.349,"['r_speed', 'r_distance']"
54,ExtraTreesClassifier,0.911,0.903,0.908,0.911,0.897,0.887,0.314,"['r_time', 'r_speed']"
55,ExtraTreesClassifier,0.926,0.919,0.923,0.925,0.913,0.906,0.3,"['p_running', 'r_speed']"
56,ExtraTreesClassifier,0.925,0.916,0.922,0.926,0.908,0.906,0.313,"['p_walking', 'r_speed']"
57,ExtraTreesClassifier,0.918,0.914,0.919,0.922,0.908,0.9,0.303,"['p_unknown', 'r_speed']"
58,ExtraTreesClassifier,0.92,0.915,0.919,0.922,0.908,0.901,0.31,"['o_distance', 'r_speed']"
59,RandomForestClassifier,0.94,0.933,0.935,0.936,0.932,0.92,0.289,['r_speed']
60,RandomForestClassifier,0.603,0.61,0.625,0.633,0.596,0.526,0.769,"['r_speed', 'mean_rating']"
61,RandomForestClassifier,0.945,0.939,0.942,0.944,0.935,0.93,0.267,"['r_speed', 'd_pace_var']"
62,RandomForestClassifier,0.942,0.933,0.935,0.936,0.931,0.92,0.273,"['r_speed', 'd_pace_std']"
63,RandomForestClassifier,0.946,0.938,0.938,0.938,0.938,0.924,0.249,"['r_speed', 'd_pace_mean']"
64,RandomForestClassifier,0.943,0.935,0.938,0.94,0.931,0.925,0.275,"['r_speed', 'd_time_var']"
65,RandomForestClassifier,0.948,0.939,0.94,0.94,0.938,0.927,0.242,"['r_speed', 'd_time_std']"
66,RandomForestClassifier,0.948,0.945,0.947,0.947,0.943,0.934,0.247,"['r_speed', 'd_time_sum']"
67,RandomForestClassifier,0.948,0.942,0.943,0.944,0.94,0.93,0.243,"['r_speed', 'd_distance_var']"
68,RandomForestClassifier,0.945,0.938,0.941,0.942,0.934,0.928,0.259,"['r_speed', 'd_distance_std']"
69,RandomForestClassifier,0.946,0.947,0.948,0.949,0.945,0.935,0.233,"['r_speed', 'd_distance_sum']"
70,RandomForestClassifier,0.951,0.946,0.948,0.95,0.943,0.937,0.236,"['r_speed', 'p_has_objective']"
71,RandomForestClassifier,0.946,0.939,0.941,0.942,0.937,0.927,0.238,"['r_speed', 'calories']"
72,RandomForestClassifier,0.947,0.94,0.94,0.939,0.941,0.925,0.231,"['r_speed', 'bmi']"
73,RandomForestClassifier,0.947,0.944,0.945,0.946,0.942,0.932,0.242,"['r_speed', 'gender']"
74,RandomForestClassifier,0.942,0.932,0.934,0.934,0.931,0.919,0.281,"['r_speed', 'weight']"
75,RandomForestClassifier,0.955,0.953,0.953,0.952,0.954,0.94,0.219,"['r_speed', 'height']"
76,RandomForestClassifier,0.947,0.939,0.941,0.942,0.936,0.928,0.259,"['r_speed', 'age']"
77,RandomForestClassifier,0.946,0.94,0.943,0.944,0.937,0.93,0.265,"['r_speed', 'weight_situation']"
78,RandomForestClassifier,0.949,0.944,0.946,0.947,0.942,0.934,0.254,"['r_speed', 'p_welldone']"
79,RandomForestClassifier,0.941,0.932,0.934,0.935,0.93,0.92,0.292,"['r_speed', 'o_time']"
80,RandomForestClassifier,0.947,0.944,0.944,0.945,0.943,0.931,0.231,"['r_speed', 'o_pace']"
81,RandomForestClassifier,0.942,0.939,0.938,0.938,0.94,0.922,0.281,"['r_speed', 'r_pace']"
82,RandomForestClassifier,0.945,0.939,0.941,0.942,0.937,0.928,0.234,"['r_speed', 'r_distance']"
83,RandomForestClassifier,0.941,0.94,0.942,0.943,0.937,0.927,0.243,"['r_time', 'r_speed']"
84,RandomForestClassifier,0.946,0.94,0.943,0.945,0.936,0.931,0.27,"['p_running', 'r_speed']"
85,RandomForestClassifier,0.947,0.937,0.939,0.94,0.934,0.926,0.255,"['p_walking', 'r_speed']"
86,RandomForestClassifier,0.947,0.943,0.945,0.946,0.94,0.932,0.264,"['p_unknown', 'r_speed']"
87,RandomForestClassifier,0.946,0.939,0.94,0.94,0.938,0.926,0.273,"['o_distance', 'r_speed']"
88,DecisionTreeClassifier,0.925,0.925,0.926,0.926,0.924,0.906,0.273,['r_speed']
89,DecisionTreeClassifier,0.545,0.559,0.573,0.581,0.543,0.46,0.897,"['r_speed', 'mean_rating']"
90,DecisionTreeClassifier,0.915,0.917,0.918,0.918,0.917,0.895,0.292,"['r_speed', 'd_pace_var']"
91,DecisionTreeClassifier,0.919,0.918,0.92,0.922,0.914,0.901,0.284,"['r_speed', 'd_pace_std']"
92,DecisionTreeClassifier,0.917,0.918,0.92,0.92,0.917,0.898,0.289,"['r_speed', 'd_pace_mean']"
93,DecisionTreeClassifier,0.921,0.921,0.92,0.919,0.923,0.898,0.281,"['r_speed', 'd_time_var']"
94,DecisionTreeClassifier,0.919,0.921,0.922,0.922,0.921,0.9,0.284,"['r_speed', 'd_time_std']"
95,DecisionTreeClassifier,0.911,0.912,0.912,0.912,0.912,0.888,0.299,"['r_speed', 'd_time_sum']"
96,DecisionTreeClassifier,0.918,0.917,0.917,0.918,0.916,0.896,0.286,"['r_speed', 'd_distance_var']"
97,DecisionTreeClassifier,0.922,0.923,0.925,0.926,0.92,0.905,0.279,"['r_speed', 'd_distance_std']"
98,DecisionTreeClassifier,0.912,0.914,0.913,0.913,0.915,0.889,0.296,"['r_speed', 'd_distance_sum']"
99,DecisionTreeClassifier,0.918,0.92,0.919,0.918,0.922,0.896,0.286,"['r_speed', 'p_has_objective']"
100,DecisionTreeClassifier,0.914,0.915,0.918,0.919,0.911,0.896,0.293,"['r_speed', 'calories']"
101,DecisionTreeClassifier,0.912,0.915,0.916,0.916,0.915,0.892,0.296,"['r_speed', 'bmi']"
102,DecisionTreeClassifier,0.924,0.923,0.924,0.925,0.922,0.905,0.276,"['r_speed', 'gender']"
103,DecisionTreeClassifier,0.917,0.917,0.917,0.918,0.916,0.896,0.289,"['r_speed', 'weight']"
104,DecisionTreeClassifier,0.916,0.916,0.917,0.918,0.914,0.895,0.29,"['r_speed', 'height']"
105,DecisionTreeClassifier,0.921,0.921,0.922,0.923,0.919,0.902,0.281,"['r_speed', 'age']"
106,DecisionTreeClassifier,0.924,0.925,0.925,0.925,0.924,0.905,0.276,"['r_speed', 'weight_situation']"
107,DecisionTreeClassifier,0.918,0.918,0.918,0.918,0.919,0.896,0.286,"['r_speed', 'p_welldone']"
108,DecisionTreeClassifier,0.924,0.919,0.92,0.92,0.919,0.9,0.276,"['r_speed', 'o_time']"
109,DecisionTreeClassifier,0.919,0.919,0.921,0.922,0.916,0.901,0.284,"['r_speed', 'o_pace']"
110,DecisionTreeClassifier,0.924,0.925,0.925,0.925,0.924,0.905,0.275,"['r_speed', 'r_pace']"
111,DecisionTreeClassifier,0.919,0.912,0.913,0.913,0.911,0.892,0.284,"['r_speed', 'r_distance']"
112,DecisionTreeClassifier,0.916,0.916,0.917,0.918,0.915,0.895,0.29,"['r_time', 'r_speed']"
113,DecisionTreeClassifier,0.917,0.918,0.919,0.92,0.915,0.898,0.289,"['p_running', 'r_speed']"
114,DecisionTreeClassifier,0.918,0.918,0.92,0.921,0.916,0.9,0.286,"['p_walking', 'r_speed']"
115,DecisionTreeClassifier,0.919,0.918,0.919,0.919,0.918,0.898,0.284,"['p_unknown', 'r_speed']"
116,DecisionTreeClassifier,0.92,0.92,0.92,0.92,0.921,0.899,0.283,"['o_distance', 'r_speed']"
