w_id,user_id,trainer_id,o_distance,o_time,o_pace,d_distance_sum,d_distance_std,d_distance_var,d_time_sum,d_time_std,d_time_var,d_pace_mean,d_pace_std,d_pace_var,r_distance,r_speed,r_time,r_pace,p_running,p_walking,p_unknown,p_welldone,p_has_objective,age,height,weight,gender,bmi,weight_situation,calories,workout_date,mean_rating,rating,month,weekday,weeknumber,year,days_from_previous,user_pop,dec_user_pop
74500,7147,5200,14000,4050,195.0,0.18501020184769523,0.0873029942430048,0.00762181280379413,0.04425438596491228,0.03399528052306777,0.0011556790978420712,-0.05626180671235703,0.06765450067554638,0.0045771314616575055,12149.148444346272,7.58853066924387,3895.0,211.12147944734147,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,53,168,66.0,1,23.384353741496604,4,744,2018-07-05 15:01:37,3.25,3,7,3,27,2018,0,11,9.75
74841,7147,5200,9000,3240,122.72727272727273,5.85837018796934,0.44954203419391287,0.20208804050720114,8.834583333333335,0.7790492531431423,0.6069177388228878,0.11463002137311927,0.6702278369677999,0.4492053534465357,8951.790079306807,3.841444615528438,3007.0,168.11518438314215,0.5,0.0,0.045454545454545456,0.09523809523809523,0.9545454545454546,53,168,66.0,1,23.384353741496604,4,515,2018-07-05 15:01:56,2.25,2,7,3,27,2018,0,12,10.75
75020,7147,5200,15000,5325,153.66666666666666,4.993593188910934,0.47170741072975303,0.22250788133736793,9.585030889249639,0.4976465096937335,0.24765204861035514,0.31318525586710433,0.4876140741902426,0.23776748534840741,7400.405849517162,3.349726196323569,2414.0,128.3502053333373,0.5333333333333333,0.0,0.06666666666666667,0.07142857142857142,0.9333333333333333,53,168,66.0,1,23.384353741496604,4,429,2018-07-05 15:02:06,1.25,1,7,3,27,2018,0,13,11.75
71978,7561,2,5800,2760,135.0,0.0,0.0,0.0,1.1641125,0.23607117149610293,0.05572959801154244,0.01157109374999999,0.031460931855590575,0.0009897902332221137,6862.507338888943,7.530504089375807,2594.489,530.6617532445731,0.4375,0.5,0.0625,0.4666666666666667,0.9375,17,178,87.0,1,27.458654210326976,5,537,2018-07-05 15:02:25,4.0,4,7,3,27,2018,0,4,2.75
73000,7561,2,7800,2873,139.0,1.2458329862356186,0.3873019212973181,0.150002778240594,2.748298611111111,0.45810954153428535,0.2098643520447531,0.3332504911259548,0.4215715563114412,0.17772257709085065,1290.2520900964737,10.114064329169539,192.49,58.96846690674563,0.4,0.4,0.2,0.25,0.8,17,178,87.0,1,27.458654210326976,5,101,2018-07-05 15:02:37,4.0,4,7,3,27,2018,0,5,3.75
71862,7363,2,2000,1968,140.0,0.0,0.0,0.0,-0.16537499999999988,0.027400903055551415,0.0007508094882597269,-0.014050531286894886,0.026436812093024682,0.0006989050336418961,4253.891704536974,6.878204331925769,2022.764,568.3714852854339,0.45454545454545453,0.45454545454545453,0.09090909090909091,0.6,0.9090909090909091,45,165,56.0,0,20.569329660238754,4,214,2018-07-05 15:03:31,3.25,3,7,3,27,2018,1,1,0
72601,6576,26,3300,4182,150.0,0.0,0.0,0.0,-0.06070643939393951,0.008336027721593524,6.948935817517571e-05,-0.0023348630536130567,0.00833602772159352,6.948935817517565e-05,5913.8893814552575,4.505742474290361,4217.669,6434.028239498393,0.0,0.8846153846153846,0.038461538461538464,0.76,0.9615384615384616,51,163,73.0,0,27.475629493018182,5,389,2018-07-05 15:04:06,3.75,4,7,3,27,2018,3,11,9.75
73034,6576,26,2400,3940,107.2,0.0,0.0,0.0,0.029264037433154845,0.003677019329285229,1.3520471147937195e-05,0.0011705614973262022,0.0036770193292852437,1.3520471147937302e-05,5399.210377829615,4.4526864592749185,3943.48,1866.5424262478011,0.0,0.8,0.04,0.8333333333333334,0.96,51,163,73.0,0,27.475629493018182,5,355,2018-07-05 15:04:21,4.0,4,7,3,27,2018,0,12,10.75
73211,6576,26,2600,4034,143.1578947368421,0.0,0.0,0.0,0.054930175210901926,0.006532880535409273,4.2678528089929344e-05,0.002891061853205355,0.00653288053540927,4.267852808992931e-05,5692.3135413243435,4.258941934024723,4175.549,1087.2602196331318,0.0,0.7368421052631579,0.05263157894736842,0.7777777777777778,0.9473684210526315,51,163,73.0,0,27.475629493018182,5,374,2018-07-05 15:04:35,4.0,4,7,3,27,2018,0,13,11.75
73512,6576,26,4600,3990,304.70588235294116,0.0,0.0,0.0,-0.14374428440609524,0.017469799374684084,0.0003051938901917124,-0.00832138937178307,0.017432441551355746,0.0003038900184414343,5640.529372439836,4.1380812067461665,4048.779,53353.295094127316,0.0,0.8235294117647058,0.058823529411764705,0.5,0.9411764705882353,51,163,73.0,0,27.475629493018182,5,371,2018-07-05 15:04:51,4.75,5,7,3,27,2018,0,14,12.75
