w_id,user_id,trainer_id,o_distance,o_time,o_pace,d_distance_sum,d_distance_std,d_distance_var,d_time_sum,d_time_std,d_time_var,d_pace_mean,d_pace_std,d_pace_var,r_distance,r_speed,r_time,r_pace,p_running,p_walking,p_unknown,p_welldone,p_has_objective,age,height,weight,gender,bmi,weight_situation,calories,workout_date,mean_rating,rating,month,weekday,weeknumber,year,days_from_previous,user_pop,dec_user_pop
127010,e355ad06c5a89f911fbb0aff2de52435,e71ad22eed10d8f6f8242f67695b215f,1800,2622,78.0,-0.0043748785978768,0.0010380803099937,1.0776107299966369e-06,-0.1679487179487179,0.0215812256706243,0.0004657493014464,-0.0104967037040536,0.0224137121063685,0.0005023744903871,6747.958713436837,7.269982695183287,2673.0,424.9089694096496,0.5,0.4,0.1,0.1111111111111111,0.9,39,170,58.0,0,20.06920415224914,4,333,2018-07-13 13:39:36,3.25,3,7,4,28,2018,0,17,15.75
125970,b32d54edfbef54504db682d7d6d5be8d,e71ad22eed10d8f6f8242f67695b215f,5400,2232,190.0,-0.0147582289334766,0.0015574313977626,2.425592558737044e-06,-0.0319023569023569,0.0067529713832739,4.560262250331669e-05,-5.152272987552791e-05,0.004361557331329,1.902318235446981e-05,6016.472241382071,8.413768211369648,2255.0,468.3082379357493,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.25,0.8888888888888888,36,170,70.0,0,24.221453287197235,4,285,2018-07-13 13:40:01,4.5,5,7,4,28,2018,0,0,0.0
127131,b32d54edfbef54504db682d7d6d5be8d,e71ad22eed10d8f6f8242f67695b215f,8000,2880,180.0,-0.0002510362741827,0.0001255181370913,1.5754802738889472e-08,0.0121527777777777,0.0060763888888888,3.692250192901235e-05,0.0062003505130888,0.0062003505130888,3.8444346485161695e-05,8064.325530389588,8.681202445004288,2876.0,426.4951915080848,0.5,0.0,0.5,0.0,0.5,36,170,70.0,0,24.221453287197235,4,399,2018-07-13 13:40:09,4.25,4,7,4,28,2018,0,1,0.0
126987,17256f049f1e3fede17c7a313f7657f4,c81e728d9d4c2f636f067f89cc14862c,8000,2720,170.0,0.0,0.0,0.0,0.0046073529411765,0.0023036764705882,5.306925281141998e-06,0.0023036764705882,0.0023036764705882,5.306925281141998e-06,8026.493380635977,8.059001980090738,2724.87,497.6384082078786,0.5,0.0,0.5,0.0,0.5,17,178,87.0,1,27.458654210326976,5,650,2018-07-13 13:40:30,4.75,5,7,4,28,2018,0,83,81.75
127240,17256f049f1e3fede17c7a313f7657f4,c81e728d9d4c2f636f067f89cc14862c,7380,2550,297.89473684210526,0.0,0.0,0.0,-0.2980982456140351,0.0654265661750621,0.0042806355614597,-0.0134673249633641,0.0637563133768146,0.0040648674954025,7464.291458335705,10.08089319408234,2573.132,406.15829600315374,0.8947368421052632,0.0526315789473684,0.0526315789473684,0.0555555555555555,0.9473684210526316,17,178,87.0,1,27.458654210326976,5,605,2018-07-13 13:40:51,5.0,5,7,4,28,2018,0,84,82.75
127491,17256f049f1e3fede17c7a313f7657f4,c81e728d9d4c2f636f067f89cc14862c,13000,4680,180.0,0.0,0.0,0.0,0.0281311965811966,0.0140655982905983,0.0001978410552724,0.0140655982905983,0.0140655982905983,0.0001978410552724,13024.532351255417,8.252054917480416,4562.557,464.57433761962704,0.5,0.0,0.5,0.0,0.5,17,178,87.0,1,27.458654210326976,5,1055,2018-07-13 13:41:01,5.0,5,7,4,28,2018,0,85,83.75
127228,a729d76292a6a72fc99598bbc1e33ae6,c16a5320fa475530d9583c34fd356ef5,10000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19203.115234483965,11.460393106951456,6186.594999999999,314.5353418829704,0.8,0.0,0.2,1.0,0.8,37,176,69.0,1,22.27530991735537,4,1175,2018-07-13 14:11:41,3.5,4,7,4,28,2018,0,67,65.75
127423,50cf0fe63e0ff857e1c9d01d827267ca,c4616f5a24a66668f11ca4fa80525dc4,2000,3000,130.43478260869566,0.0,0.0,0.0,-2.0875,0.1120469693835407,0.0125545233480361,-0.0907608695652173,0.1120469693835407,0.0125545233480361,5730.838236524724,5.687697167138873,3178.157,1665.3959425926612,0.5217391304347826,0.0,0.0434782608695652,0.5454545454545454,0.9565217391304348,40,163,71.0,0,26.722872520606725,5,366,2018-07-13 14:13:37,2.75,3,7,4,28,2018,0,25,23.75
127844,50cf0fe63e0ff857e1c9d01d827267ca,c4616f5a24a66668f11ca4fa80525dc4,2400,2976,111.42857142857144,0.0,0.0,0.0,-0.0577329059829059,0.0142839722764634,0.0002040318639947,-0.008247557997558,0.0142839722764635,0.0002040318639947,6304.520566161723,5.982449628727801,3025.717,1786.3127456089028,0.5714285714285714,0.0,0.1428571428571428,0.6666666666666666,0.8571428571428571,40,163,71.0,0,26.722872520606725,5,403,2018-07-13 14:14:00,3.0,3,7,4,28,2018,0,26,24.75
128354,50cf0fe63e0ff857e1c9d01d827267ca,c4616f5a24a66668f11ca4fa80525dc4,3000,3360,139.1304347826087,0.0,0.0,0.0,-1.9649270833333328,0.1013075332596672,0.0102632162951585,-0.0854316123188406,0.1013075332596672,0.0102632162951585,6706.131223022006,5.36522800599253,3597.878,1875.1300638600635,0.5217391304347826,0.0,0.0434782608695652,0.5454545454545454,0.9565217391304348,40,163,71.0,0,26.722872520606725,5,429,2018-07-13 14:14:37,2.0,2,7,4,28,2018,0,27,25.75
